"Food","jan_pg","jan_fg","jan_cg","feb_pg","feb_fg","feb_cg","mar_pg","mar_fg","mar_cg","apr_pg","apr_fg","apr_cg","may_pg","may_fg","may_cg","jun_pg","jun_fg","jun_cg","jul_pg","jul_fg","jul_cg","aug_pg","aug_fg","aug_cg","sept_pg","sept_fg","sept_cg","oct_pg","oct_fg","oct_cg","nov_pg","nov_fg","nov_cg","dec_pg","dec_fg","dec_cg"
"Apples",0,0.00169808116827984,0.0305654610290372,0,0.00171320884015762,0.0308377591228371,0,0.00168321831341525,0.0302979296414745,0,0.00169061707523246,0.0304311073541843,0,0.001657824933687,0.029840848806366,0,0.00165070980521624,0.0297127764938924,0,0.00160590974787217,0.0289063754616991,0,0.00154774802662127,0.0278594644791828,0,0.00156985871271586,0.0282574568288854,0,0.00166861338227933,0.0300350408810279,0,0.00173250173250173,0.0311850311850312,0,0.00161603102779573,0.0290885585003232
"Bacon",0.0341530054644809,0,0.00853825136612022,0.0336021505376344,0,0.0084005376344086,0.0342935528120713,0,0.00857338820301783,0.0325097529258778,0,0.00812743823146944,0.0316856780735108,0,0.00792141951837769,0.0320924261874198,0,0.00802310654685494,0.0312891113892365,0,0.00782227784730914,0.0303398058252427,0,0.00758495145631068,0.030229746070133,0,0.00755743651753325,0.0301568154402895,0,0.00753920386007238,0.0295159386068477,0,0.00737898465171192,0.0288683602771363,0,0.00721709006928406
"Bananas",0.00427350427350427,0.00384615384615385,0.0982905982905983,0.00424628450106157,0.00382165605095541,0.0976645435244161,0.00427350427350427,0.00384615384615385,0.0982905982905983,0.00427350427350427,0.00384615384615385,0.0982905982905983,0.00427350427350427,0.00384615384615385,0.0982905982905983,0.00427350427350427,0.00384615384615385,0.0982905982905983,0.00427350427350427,0.00384615384615385,0.0982905982905983,0.00416666666666667,0.00375,0.0958333333333333,0.00416666666666667,0.00375,0.0958333333333333,0.00416666666666667,0.00375,0.0958333333333333,0.00416666666666667,0.00375,0.0958333333333333,0.0041407867494824,0.00372670807453416,0.0952380952380952
"Bread",0.0378949362891384,0.0532897541566008,0.170527213301123,0.0368386314448418,0.0518043254693088,0.165773841501788,0.0374917986690411,0.0527228418783391,0.168713094010685,0.0370971481567354,0.0521678645954092,0.16693716670531,0.0367107195301028,0.051624449339207,0.165198237885463,0.0374917986690411,0.0527228418783391,0.168713094010685,0.0377595972309629,0.0530994336060415,0.169918187539333,0.0374917986690411,0.0527228418783391,0.168713094010685,0.0376252214401053,0.0529104676501481,0.169313496480474,0.0372277719178507,0.0523515542594776,0.167524973630328,0.036583692818926,0.0514458180266146,0.164626617685167,0.0354788161901665,0.0498920852674216,0.159654672855749
"Canned salmon",0.0299850074962519,0,0,0.0303030303030303,0,0,0.0308641975308642,0,0,0.031201248049922,0,0,0.0321027287319422,0,0,0.0306278713629403,0,0,0.0301204819277108,0,0,0.0306278713629403,0,0,0.031201248049922,0,0,0.03003003003003,0,0,0.0306278713629403,0,0,0.0306278713629403,0,0
"Canned tomatoes",0.00574712643678161,0.0028735632183908,0.0258620689655172,0.00563063063063063,0.00281531531531532,0.0253378378378378,0.00559284116331096,0.00279642058165548,0.0251677852348993,0.00520833333333333,0.00260416666666667,0.0234375,0.00520833333333333,0.00260416666666667,0.0234375,0.00511247443762781,0.00255623721881391,0.0230061349693252,0.00527426160337553,0.00263713080168776,0.0237341772151899,0.00478927203065134,0.00239463601532567,0.021551724137931,0.00490196078431373,0.00245098039215686,0.0220588235294118,0.00505050505050505,0.00252525252525253,0.0227272727272727,0.00530785562632696,0.00265392781316348,0.0238853503184713,0.00487329434697856,0.00243664717348928,0.0219298245614035
"Carrots",0.00296296296296296,0.00266666666666667,0.0296296296296296,0.00284900284900285,0.00256410256410256,0.0284900284900285,0.00286123032904149,0.00257510729613734,0.0286123032904149,0.00274348422496571,0.00246913580246914,0.0274348422496571,0.00267737617135207,0.00240963855421687,0.0267737617135207,0.00264550264550265,0.00238095238095238,0.0264550264550265,0.00252525252525253,0.00227272727272727,0.0252525252525253,0.00281293952180028,0.00253164556962025,0.0281293952180028,0.00277777777777778,0.0025,0.0277777777777778,0.0028735632183908,0.00258620689655172,0.028735632183908,0.00282485875706215,0.00254237288135593,0.0282485875706215,0.00274348422496571,0.00246913580246914,0.0274348422496571
"Chicken",0.0368147258903561,0,0,0.0386554621848739,0,0,0.0350049463511148,0,0,0.0343822408251738,0,0,0.0348696179502729,0,0,0.0350502895458702,0,0,0.0335301406808076,0,0,0.0332826857680341,0,0,0.0326009922041106,0,0,0.0317965023847377,0,0,0.033079246368474,0,0,0.0343822408251738,0,0
"Eggs",0.032967032967033,0,0,0.0331491712707182,0,0,0.0318302387267905,0,0,0.0315789473684211,0,0,0.0320855614973262,0,0,0.032,0,0,0.0320855614973262,0,0,0.030690537084399,0,0,0.031413612565445,0,0,0.0310077519379845,0,0,0.0310077519379845,0,0,0.031413612565445,0,0
"Ground beef",0.0234275528393175,0,0,0.0244654823954898,0,0,0.0241165985110622,0,0,0.0234681903984491,0,0,0.023988318731748,0,0,0.0245989304812834,0,0,0.0239246892390909,0,0,0.0234072867901486,0,0,0.0228151969050689,0,0,0.0219811726477756,0,0,0.021716551789255,0,0,0.0224368354306897,0,0
"Onions",0.00415886878768975,0.0033270950301518,0.0374298190892077,0.00410509031198686,0.00328407224958949,0.0369458128078818,0.00412286126571841,0.00329828901257473,0.0371057513914657,0.00423280423280423,0.00338624338624339,0.0380952380952381,0.00405268490374873,0.00324214792299899,0.0364741641337386,0.0040016006402561,0.00320128051220488,0.0360144057623049,0.00388726919339164,0.00310981535471331,0.0349854227405248,0.0039032006245121,0.00312256049960968,0.0351288056206089,0.00412286126571841,0.00329828901257473,0.0371057513914657,0.00445037828215398,0.00356030262572319,0.0400534045393858,0.00415886878768975,0.0033270950301518,0.0374298190892077,0.00423280423280423,0.00338624338624339,0.0380952380952381
"Oranges",0.00309501702259362,0.00154750851129681,0.024760136180749,0.00294724432655467,0.00147362216327734,0.0235779546124374,0.00307787011388119,0.0015389350569406,0.0246229609110496,0.00303582270795386,0.00151791135397693,0.0242865816636308,0.00284900284900285,0.00142450142450142,0.0227920227920228,0.00275027502750275,0.00137513751375138,0.022002200220022,0.00279876854184159,0.00139938427092079,0.0223901483347327,0.00286368843069874,0.00143184421534937,0.0229095074455899,0.00284900284900285,0.00142450142450142,0.0227920227920228,0.00276395798783859,0.00138197899391929,0.0221116639027087,0.00269687162891046,0.00134843581445523,0.0215749730312837,0.00270343336036767,0.00135171668018383,0.0216274668829413
"Partly skimmed milk",0.00618620476337767,0,0.0092793071450665,0.00598300825655139,0,0.00897451238482709,0.00597211024515513,0,0.00895816536773269,0.00596125186289121,0,0.00894187779433681,0.00595043289399304,0,0.00892564934098956,0.00598300825655139,0,0.00897451238482709,0.00595043289399304,0,0.00892564934098956,0.00597211024515513,0,0.00895816536773269,0.00597211024515513,0,0.00895816536773269,0.00593965312425754,0,0.00890947968638632,0.00596125186289121,0,0.00894187779433681,0.00593965312425754,0,0.00890947968638632
"Potatoes",0.00193423597678917,0.000483558994197292,0.0212765957446809,0.00198216055500496,0.000495540138751239,0.0218037661050545,0.00193986420950533,0.000484966052376334,0.0213385063045587,0.00195503421309873,0.000488758553274682,0.021505376344086,0.00189035916824197,0.000472589792060492,0.0207939508506616,0.0019047619047619,0.000476190476190476,0.020952380952381,0.00186567164179104,0.000466417910447761,0.0205223880597015,0.00187441424554827,0.000468603561387067,0.0206185567010309,0.00196270853778214,0.000490677134445535,0.0215897939156035,0.00196656833824975,0.000491642084562439,0.0216322517207473,0.00202224469160768,0.000505561172901921,0.0222446916076845,0.00193050193050193,0.000482625482625483,0.0212355212355212
"Processed cheese slices",0.0495662949194548,0,0.00991325898389095,0.04778972520908,0,0.00955794504181601,0.0469483568075117,0,0.00938967136150235,0.0481347773766546,0,0.00962695547533093,0.0471142520612485,0,0.00942285041224971,0.0474495848161329,0,0.00948991696322657,0.0490196078431372,0,0.00980392156862745,0.0481347773766546,0,0.00962695547533093,0.0510855683269476,0,0.0102171136653895,0.050125313283208,0,0.0100250626566416,0.0506970849176172,0,0.0101394169835234,0.0506970849176172,0,0.0101394169835234
